z1,z2,z3,Class
0.75126314,0.087702096,0.40555495,9
-0.78475463,0.03437832,-0.5869779,0
0.39527324,0.010426044,-0.7754713,0
-0.13333683,-0.0033442974,-0.63544595,3
-0.19367777,-0.02126515,-1.1499716,0
-1.375362,-0.012381583,0.20721331,2
0.6504479,-0.077332556,1.5537697,7
-1.994934,0.0003247559,0.437045,2
2.7992153,6.878376e-05,-0.26138127,5
1.8367894,0.060580075,0.010523647,5
-0.5637357,0.02939123,-0.6226375,0
0.735135,0.10642803,-0.086478114,9
1.0933592,-0.0028476715,0.99580854,5
1.3088712,-0.06538245,1.3032227,5
0.95737344,-0.05260521,2.0353448,7
0.5759142,0.06627026,0.6268085,9
-0.53194535,-0.014658302,-2.1819816,1
-0.6681124,0.0068419874,-0.7256421,0
-1.3176854,-0.006455213,0.2730925,6
-0.32853603,0.019180447,-0.01840493,4
-0.3326126,0.0020994544,-1.3023598,3
0.15466373,-0.030893326,-1.6976416,1
-0.7659581,0.024926484,-0.20201308,4
-0.82469,0.024272442,1.070791,8
-1.5898975,0.006065011,-0.19070715,4
-1.1792963,0.015388936,-1.7791055,3
-1.0976154,0.009616613,0.42220813,0
-2.031492,-0.020915449,0.26397395,2
-0.90971315,0.025977373,-0.07631132,4
-1.5010365,-0.009098172,0.1796796,4
2.178775,0.01677996,2.6216512,5
0.37267783,0.0077138543,-0.9136889,3
-1.1626376,-0.0042760074,0.1108612,6
0.0955218,0.035345882,-0.07006276,6
0.11732703,0.022588462,-0.2851616,0
-0.12836792,0.050070763,0.37339061,8
1.2524232,0.025715113,-0.3109879,5
-0.7471899,0.039968163,0.25032175,2
0.48655343,-0.052565843,-2.5294838,1
-2.1860068,-0.016596317,-0.32420826,6
-1.3476623,-0.013389349,0.13705382,6
0.51785773,-0.05066666,1.3535063,7
0.49465308,0.0611009,0.7699187,9
1.2638222,-0.046337992,1.1685007,5
0.31714335,0.07608721,0.28847075,9
-1.0572351,-0.0009858012,0.17929466,2
0.64929533,-0.049238354,1.3702624,7
-0.6729349,-0.03941202,-1.4031886,3
-0.59517735,0.042575717,-0.48344028,0
-1.9012638,0.0078060627,-0.8973212,3
0.06992717,0.013441533,-1.3213792,3
-0.02180412,-0.0032770634,-1.2877619,3
0.3722923,-0.036598384,1.3999863,7
-2.2703989,-0.03463614,0.07052061,2
-0.365086,0.024944395,-0.08108914,2
-0.70702547,0.035738617,-0.6510965,6
-0.40591255,-0.020660698,-0.5837314,6
0.06222565,0.022775352,-0.74956894,8
0.046693273,0.019376606,-1.324885,3
1.5623214,0.00045734644,-1.7760998,3
1.295872,0.073040605,0.14649954,5
-0.5945668,0.050255775,-0.24188614,0
1.5528795,-0.06962517,1.2825997,5
1.8362982,0.02638641,2.426704,5
-0.40564755,-5.143881e-05,-0.9224117,0
-1.503016,-0.001783073,0.34505725,2
-0.8203984,0.021908164,-0.63852865,0
-0.06628722,0.0032215118,-0.90401304,0
-1.0243068,0.026933879,0.17427051,4
1.0266483,-0.024151266,-1.953844,1
-0.7793263,0.027265638,-0.40644187,3
0.16296783,-0.028182626,-2.0254407,1
-0.22392692,0.027985126,-0.49809176,6
-0.07039869,0.028409421,-1.1928893,3
0.5402107,-0.04203841,-2.2293305,1
-1.744161,-0.005886048,-0.6454577,4
-0.75238144,-0.023841888,-0.23094338,4
-1.330039,0.012148768,0.595147,6
0.7301127,-0.029656112,-1.9043239,1
0.3681245,0.05323398,0.40947905,9
0.0024264492,-0.03874144,-1.7612098,1
0.57386917,0.0008494258,-0.92391586,3
2.278247,0.039447665,0.24409577,5
0.3058269,-0.057774395,1.512278,7
0.8467931,0.09699285,0.13620242,9
0.86306727,-0.010054141,1.1123146,7
0.10496376,-0.032540143,-1.8855253,1
0.7937111,-0.0905295,1.7051307,7
0.6533974,0.10105252,0.05655992,9
0.6292886,0.035959095,0.8581958,9
1.1273026,0.035315365,0.53703,9
0.36984584,0.005954981,-1.0270782,3
-0.3093315,0.017964602,0.13112824,2
0.4383763,0.040246934,0.827345,9
-1.0071527,-0.016389877,-1.6358848,3
-0.79927874,0.015246391,0.037121743,6
-0.15591468,0.027774721,-0.11688885,4
0.5698013,-0.02019161,-3.3475995,1
-0.34765074,-0.060748488,-1.9016446,1
-0.6912201,0.035794288,0.93468446,8
-0.6482991,0.07243717,0.59413433,8
-0.32068947,0.015150189,-0.7969717,0
1.183165,-0.046405107,-2.7499619,1
0.87843126,-0.033499897,-3.550377,1
-0.70846915,0.024892092,0.06589967,6
-1.0176584,-0.045848787,1.6982095,8
0.09673911,-0.048012227,-1.7890722,1
0.66305083,0.04917714,0.7703211,9
0.29210153,-0.034839094,1.3436524,7
-1.1168901,0.033192545,1.4825913,8
-0.9931376,-0.023038775,1.8119682,8
1.0570551,0.0037579238,0.80803716,9
-1.0578741,0.015654057,-0.07842779,6
0.19604792,0.017499924,-0.75122523,6
0.24401231,0.021316439,-0.9021958,3
0.81144786,-0.0042093396,-1.5563139,1
1.5080256,0.031713396,-0.036197364,5
-1.086868,-0.005654812,0.39850274,4
-0.46968952,0.033943295,-0.019576073,6
0.2899431,-0.06328657,1.853608,7
1.8063606,-0.07161459,1.2888734,5
1.1598235,-0.050131798,1.2088311,5
0.60855067,0.085044086,0.44204783,9
-0.54175645,0.017279565,0.107685536,2
-1.6832155,-0.0055660903,0.113799095,2
-0.921698,-0.003308475,0.0670463,2
0.33349928,-0.046197355,1.5535934,7
